statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
ERA,Corbin Burnes,Milwaukee Brewers,2.43,Top 25,2021,National League,Pitching Statistics,4,15,0,1
Games,Tyler Rogers,San Francisco Giants,80.0,Top 25,2021,National League,Pitching Statistics,5,88,0,1
Saves,Mark Melancon,San Diego Padres,39.0,Top 25,2021,National League,Pitching Statistics,11,65,0,1
Shutouts,Anthony DeSclafani,San Francisco Giants,2.0,Top 25,2021,National League,Pitching Statistics,12,5,0,1
Strikeouts,Zack Wheeler,Philadelphia Phillies,247.0,Top 25,2021,National League,Pitching Statistics,15,93,0,1
Winning Percentage,Julio Urias,Los Angeles Dodgers,0.87,Top 25,2021,National League,Pitching Statistics,18,49,0,1
Wins,Julio Urias,Los Angeles Dodgers,20.0,Top 25,2021,National League,Pitching Statistics,19,49,0,1
Complete Games,Sandy Alcantara,Miami Marlins,6.0,Top 25,2022,National League,Pitching Statistics,2,78,1,1
ERA,Julio Urías,Los Angeles Dodgers,2.16,Top 25,2022,National League,Pitching Statistics,4,50,1,1
Games,John Brebbia,San Francisco Giants,76.0,Top 25,2022,National League,Pitching Statistics,5,40,1,1
Saves,Kenley Jansen,Atlanta Braves,41.0,Top 25,2022,National League,Pitching Statistics,11,52,1,1
Shutouts,Sandy Alcantara,Miami Marlins,1.0,Top 25,2022,National League,Pitching Statistics,12,78,1,1
Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0,Top 25,2022,National League,Pitching Statistics,15,15,1,1
Winning Percentage,Kyle Wright,Atlanta Braves,0.808,Top 25,2022,National League,Pitching Statistics,18,58,1,1
Wins,Kyle Wright,Atlanta Braves,21.0,Top 25,2022,National League,Pitching Statistics,19,58,1,1
Complete Games,Sandy Alcantara,Miami Marlins,3.0,Top 25,2023,National League,Pitching Statistics,2,78,2,1
ERA,Blake Snell,San Diego Padres,2.25,Top 25,2023,National League,Pitching Statistics,4,7,2,1
Games,Miguel Castro,Arizona Diamondbacks,75.0,Top 25,2023,National League,Pitching Statistics,5,69,2,1
